generated,expected,generated_md,original_md
"In 1956, three years after Stalin's death, Russia's First Party Secretary, Nikita Khrushchev, delivered a speech entitled , in which he blasted Stalin's fundamentally dishonest, authoritarian brand of leadership.","Nikita Khrushchev, Russia's First Party Secretary, gave a speech on The Cult Of Personality And Its Consequences in 1956, three years after Stalin's death, in which he slammed Stalin's foundationally dishonest, authoritarian brand of leadership.","(MD0)In 1956, three years after Stalin's death, Russia's First Party Secretary, Nikita Khrushchev, delivered a speech entitled (MD1)(MD2), in which he blasted Stalin's fundamentally dishonest, authoritarian brand of leadership.(MD0)","(MD0)In 1956, three years after Stalin’s death, Russia’s First Party Secretary, Nikita Khrushchev, delivered a speech called, (MD1)(MD2)On The Cult Of Personality And Its Consequences(MD2)(MD1)(MD2),(MD2) in which he roundly criticised Stalin’s foundationally dishonest, authoritarian brand of leadership:(MD0)"
"The speech, although not officially made public, nevertheless sparked shockwaves throughout the Soviet Union and the Soviet Bloc.","The speech, although not officially released, sent shockwaves throughout the Soviet Union and the Soviet Bloc.","(MD0)The speech, although not officially made public, nevertheless (MD1)sparked shockwaves(MD1) throughout the Soviet Union and the Soviet Bloc.(MD0)","(MD0)The speech, which was never officially made public, nonetheless (MD1)sent shockwaves(MD1) through the Soviet Union and the Soviet Bloc.(MD0)"
"All that was left was reality after Stalin's ""cult of personality"" was revealed as a lie.","All that was left was reality when Stalin's ""cult of personality"" was revealed as a lie.","(MD0)All that was left was reality after Stalin's ""cult of personality"" was revealed as a lie.(MD0)","(MD0)Once Stalin’s “cult of personality” had been revealed as a lie, all that was left was reality.(MD0)"
I've been drawn back to the question of truth as I've been following the nightmare unfolding in Ukraine.,I've been drawn back to the question of truth as I've been following the events in Ukraine.,(MD0)I've been drawn back to the question of truth as I've been following the nightmare unfolding in Ukraine.(MD0),"(MD0)As I’ve watched the nightmare unfolding in Ukraine, I keep being dragged back to that question of reality.(MD0)"
Primarily by Putin's repeated attempts to deny it.,Primarily because of Putin's repeated attempts to deny it.,(MD0)Primarily by Putin's repeated attempts to deny it.(MD0),(MD0)Primarily by Putin’s repeated attempts to deny it.(MD0)
"There's a strange assertion that drug addicts and Neo-Nazis are governing Ukraine (especially considering that Volodymyr Zelenskyy, the Ukrainian president, is Jewish).","There's also the fact that drug users and Neo-Nazis are governing Ukraine (particularly considering that Volodymyr Zelenskyy, Ukraine's president, is Jewish).","(MD0)(MD0)There's a strange assertion that (MD1)drug addicts and Neo-Nazis(MD1) are governing Ukraine (MD1) (especially considering that Volodymyr Zelenskyy, the Ukrainian president, is Jewish).(MD0)","(MD0)There’s his bizarre claim that Ukraine is being run by (MD1)drug addicts and Neo-Nazis(MD1) (especially strange given that Volodymyr Zelenskyy, the Ukrainian president, is Jewish).(MD0)"
There are attempts by Orwellian attempts to frame Russia as liberators rather than occupiers.,There are attempts by Orwellian authors to frame Russia as liberators rather than occupiers.,(MD0)There are attempts by Orwellian attempts to frame Russia as (MD1)liberators rather than occupiers(MD1).(MD0),(MD0)There are the downright Orwellian attempts to frame Russia as (MD1)liberators instead of occupiers(MD1).(MD0)
"When Luhansk and Donetsk were plucky, newly-independence states for the past eight years, they were Russia-controlled, totalitarian statelets for the past eight years.","When Luhansk and Donetsk were ruled by Russia-controlled, totalitarian statelets for the past eight years, they were depicted as plucky, newly independent states.","(MD0)When Luhansk and Donetsk were (MD1)plucky, newly-independence states(MD1) for the past eight years, they were (MD2)Russia-controlled, totalitarian statelets(MD2) for the past eight years.(MD0)","(MD0)There’s his portrayal of Luhansk and Donetsk as (MD1)plucky, newly-independent states(MD1) when they’ve been (MD2)Russia-controlled, totalitarian statelets(MD2) for the past 8 years.(MD0)"
"Putin had apparently completely lost sight of reality, as it appeared.",Putin seemed to have completely lost sight of reality.,"(MD0)Putin had apparently completely lost sight of reality, as it appeared.(MD0)","(MD0)Putin, it seemed, had also completely lost consciousness of reality.(MD0)"
"However, ' remarks as he attempted to justify the impending economic sanctions to an assembly of oligarchs stood out: Possibly that's why 's remarks stood out:","However, perhaps that's why his remarks when he tried to explain the impending economic sanctions to an assembly of oligarchs stood out:","(MD0)However, (MD1)' remarks(MD1) as he attempted to justify the impending economic sanctions to an assembly of oligarchs stood out: (MD0) Possibly that's why (MD1)'s remarks(MD1) stood out:(MD0)",(MD0)But maybe that’s why (MD1)his remarks(MD1) as he tried to justify the impending economic sanctions to an assembly of oligarchs stood out:(MD0)
"This, at least from Putin's perspective, is almost certainly correct.","This, at least from Putin's perspective, is almost certainly correct.","(MD0)This, at least from Putin's perspective, is almost certainly correct.(MD0)","(MD0)This, at least from Putin’s perspective, is almost certainly true.(MD0)"
"And yet for Putin, it's impossible to believe that a military invasion was his preferred option.","After all, even for Putin, it's impossible to believe that a military invasion was his preferred option.","(MD0)And yet for Putin, it's impossible to believe that a military invasion was his preferred option.(MD0)","(MD0)After all, even for Putin, it’s hard to believe that a military invasion was his preferred option.(MD0)"
What is putting Russia's defense at such risk?,What is putting Russia's defense at such risk?,(MD0)What is putting Russia's defense at such risk?(MD0),"(MD0)The question is, what is putting Russia’s security at such great “risk”?(MD0)"
How could Ukraine's independence possibly pose a threat to Russia's survival?,How can Ukraine's unification pose a threat to Russia's survival?,(MD0)How could Ukraine's independence possibly pose a threat to Russia's survival?(MD0),(MD0)How could Ukraine’s independence possibly pose a threat to Russia’s existence?(MD0)
And here's the only thing that truly terrifies leaders like these: the truth.,And here's the only thing that truly terrifies leaders like this: the truth.,(MD0)And here's the only thing that truly terrifies leaders like these: the truth.(MD0),"(MD0)And here, we arrive at the only thing that truly terrifies leaders like these; the truth.(MD0)"
"It's no coincidence that Trump, the president of ""alternative facts"" and ""fake news,"" described Putin's manufactured justifications for the Ukraine invasion as ""genius"" and ""wonderful.""","It's no coincidence that Trump, the president of ""alternative facts"" and ""fake news,"" described Putin's manufactured justifications for the Ukraine invasion as ""genius"" and ""wonderful.""","(MD0)It's no coincidence that Trump, the president of ""(MD1)alternative facts(MD1)"" and ""fake news,"" described Putin's manufactured justifications for the Ukraine invasion as ""(MD2)genius(MD2)"" and ""wonderful.""(MD0)","(MD0)It’s no coincidence that Trump, the president of “(MD1)alternative facts(MD1)"" and “fake news” described Putin’s fabricated justifications for the Ukraine invasion as “(MD2)genius(MD2)” and “wonderful”.(MD0)"
It's no coincidence that Russia tightened news censorship as reports of the scale of their losses began to roll in.,It's no coincidence that Russia tightened news censorship as reports of the severity of their losses began to roll in.,(MD0)It's no coincidence that Russia (MD1)tightened news censorship(MD1) as reports of the (MD2)scale of their losses(MD2) began to roll in.(MD0),(MD0)It’s no coincidence that Russia (MD1)tightened news censorship(MD1) as news of the (MD2)scale of their losses(MD2) began to roll in.(MD0)
It's no coincidence that modern-day tyrants like Russia (as well as China and North Korea) maintain such stringent limits over the details their citizens can access.,It's no coincidence that modern-day tyrants like Russia (as well as China and North Korea) maintain such tight control over the information their citizens can access.,(MD0)It's no coincidence that modern-day tyrants like Russia (as well as China and North Korea) maintain such stringent limits over the details their citizens can access.(MD0),(MD0)It’s no coincidence that modern-day dictatorships like Russia (see also China and North Korea) exert such stringent controls over the information their citizens can access.(MD0)
The most effective way to manage a population is to monitor what they see and hear and think about.,The best way to manage a population is to monitor what they see and hear and think about.,(MD0)The most effective way to manage a population is to monitor what they see and hear and think about.(MD0),(MD0)The easiest way to control a population is to control what they see and hear and think.(MD0)
"And Ukraine's embrace of democracy and recent attempts to join the European Union represented a nation right on Russia's doorstep, whose thoughts Putin couldn't comprehend.","And Ukraine's embrace of democracy and recent attempts to join the European Union represented a nation right on Russia's doorstep, with Putin's thoughts that Putin could not comprehend.","(MD0)And Ukraine's embrace of democracy and recent attempts to join the European Union represented a nation right on Russia's doorstep, whose thoughts Putin couldn't comprehend.(MD0)","(MD0)And Ukraine’s embrace of democracy and recent efforts to join the European Union represented a country, right on Russia’s doorstep, whose thoughts Putin couldn’t control.(MD0)"
